Time,Value
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.12
"
,"0.12
"
,"0.13
"
,"0.14
"
,"0.16
"
,"0.09
"
,"0.36
"
,"0.00
"
,"0.09
"
,"0.05
"
,"0.00
"
,"0.43
"
,"0.37
"
,"0.28
"
,"0.18
"
,"0.07
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
8,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.12
"
,"0.22
"
,"0.11
"
,"0.00
"
,"0.51
"
,"0.60
"
,"0.35
"
,"0.07
"
,"0.31
"
,"0.43
"
,"0.32
"
,"0.15
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.05
"
,"0.16
"
,"0.27
"
,"0.37
"
,"0.04
"
,"0.40
"
,"0.59
"
,"0.15
"
,"0.14
"
,"0.21
"
,"0.17
"
,"0.19
"
,"0.02
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.05
"
,"0.18
"
,"0.22
"
,"0.28
"
,"0.13
"
,"0.51
"
,"0.58
"
,"0.58
"
,"0.40
"
,"0.11
"
,"0.03
"
,"0.22
"
,"0.08
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.09
"
,"0.21
"
,"0.28
"
,"0.42
"
,"0.27
"
,"0.00
"
,"0.61
"
,"0.35
"
,"0.49
"
9,"0.00
"
