Name,Time,Value
,,0
,,0
Melissa,2013-07-23 10-35-14.529,
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,24
,,0
,,0
,,24
,,0
,,24
Melissa,2013-07-23 10-37-48.301,
,,0
,,0
,,0
,,0
,,36
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,24
,,0
,,0
,,32
,,31
,,0
,,0
,,0
,,0
,,0
,,0
,,16
,,10
,,16
,,0
,,0
,,31
,,0
,,0
,,0
,,0
,,0
,,26
,,3
,,0
,,0
,,0
,,0
,,92
,,64
,,4
,,20
,,48
,,32
,,68
,,68
,,64
,,8
,,20
,,53
,,24
,,48
,,95
,,34
,,52
,,108
,,48
,,44
,,48
,,8
,,32
,,10
,,1
,,0
,,0
,,0
,,32
,,0
,,31
,,0
Melissa,2013-07-23 10-39-28.265,
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,31
,,0
,,40
,,0
,,40
,,0
,,2
,,0
,,40
,,40
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,16
,,30
,,0
,,0
,,2
,,0
,,3
,,32
,,0
,,0
,,0
,,0
,,28
,,0
,,3
,,0
,,0
,,0
,,24
,,0
,,0
,,0
,,24
,,0
,,0
,,0
,,0
,,0
,,24
,,0
,,24
,,0
,,0
,,0
,,20
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,18
,,0
,,18
,,16
,,0
,,0
,,16
,,1
,,0
,,7
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,51
,,64
,,104
,,64
,,4
,,16
,,0
,,0
,,0
,,16
,,0
,,0
,,7
,,0
,,0
,,0
,,16
,,0
Melissa,2013-07-23 10-42-37.009,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,16
,,0
,,0
,,0
,,24
,,0
,,0
,,16
,,0
,,0
,,31
,,31
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,58
,,34
,,64
,,53
,,76
,,16
,,0
,,12
,,12
,,24
,,8
,,56
,,0
,,0
,,31
,,15
,,0
,,31
,,3
,,31
,,8
,,0
,,0
,,4
,,26
,,12
,,0
,,36
,,44
,,15
,,4
,,8
,,4
,,0
,,16
,,0
,,0
,,16
,,4
,,56
,,8
,,8
,,0
,,32
,,16
,,34
,,0
,,0
,,48
,,0
,,8
,,31
,,8
,,0
,,0
,,8
,,20
,,8
,,4
,,16
,,0
,,8
,,0
,,0
,,20
,,62
,,3
,,0
,,0
,,0
Melissa,2013-07-23 10-44-15.287,
,,40
,,0
,,40
,,40
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,20
,,24
,,0
,,31
,,0
,,0
,,0
,,32
,,0
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,30
,,30
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,1
,,28
,,0
,,7
,,0
,,24
,,24
,,0
,,24
,,3
,,3
,,0
,,24
,,1
,,0
,,16
,,15
,,7
,,1
,,3
,,0
,,0
,,0
,,0
,,24
,,24
,,7
,,15
,,0
,,0
,,0
,,7
,,20
,,0
,,0
,,0
,,0
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,7
,,0
,,0
,,16
,,0
,,0
,,16
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,7
,,7
,,10
,,0
,,10
,,0
,,0
,,8
,,8
,,0
,,0
,,8
,,0
,,8
,,8
,,8
,,8
,,0
,,0
,,8
,,0
,,0
,,8
,,8
,,1
,,0
,,0
,,3
,,0
,,8
,,8
,,8
,,0
,,0
,,8
,,8
,,0
,,6
,,3
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,0
,,3
,,0
,,3
,,0
,,0
,,0
,,4
,,4
,,4
